type,"	id","question	","opt1	",opt2,opt3,opt4,active_count,"answer_index	","explanation	",score
MCQ,29,يأخذ الناس من حسناته لأنه وقع في أعراضهم ...,مقسط ,مسرف,مفلس,مقدر,4,3,,2
MCQ,30,عدم تطبيق الاحكام الشرعية من صور الفساد ...,العقيدي,التشريعي,الخلقي,السياسي,4,2,,2
MCQ,31,من الذنوب المتعلقة بحق الناس ويجب التوبة منها ...,الظلم,النفاق,شرب الخمر,الرياء,4,1,,2
MCQ,32,من خصائص المسؤولية في الإسلام أنها تقتضي ...,المهام والسلطات,النصائح والتوصيات,الصالة والدعاء,الحدود والتركات,4,1,,2
MCQ,33,الصالة عبادة تؤدي إلى صحة البدن ورقة الشعور بشرط ...,الخشوع,الكثرة,التعود,السرية,4,1,,2
MCQ,34,من أهم واجبات القاضي ...,المساواة بين الخصوم,الرشد والورع,العلم والولاية,معيناً من الحاكم,4,1,,2
MCQ,35,حكم الحرابة,حرام,مباح,مكروه,جائز,4,1,,2
MCQ,36,من أهم الضوابط الشرعية للتملك ...,العمل الجاد,الهبة الطوعية,الوقوع في الشبهات,التصرف الرشيد,4,4,,2
MCQ,37,"توفيت امرأة وتركت أماً وزوجا،ً وأخاً لأم، فنصيب الاخ لأم ...",السدس,الثلث,الربع,النصف,4,1,,2
MCQ,38,جميع ما يلي من الهبات عدا ...,الصدقة,الزكاة,الهدية,الإبراء,4,2,,2
MCQ,39, من الوارثين فرضاً ...,الأخ لأب,ابن الابن,الأخ لأم,الأخ الشقيق,4,3,,2
MCQ,40,الإسلام حرم الإكراه على الفعل حفاظاً على ...,الدين,النفس,العقل,المال,4,3,,2
MCQ,41,يشترط لإقامة حد السرقة ...,الغنى,الحاجة,المرض ,البلوغ,4,4,,2
MCQ,42,تثبت الدعوى بــ ...,حكم الحاكم,إقرار المدعى عليه,صدق المدعي,العلم بالدعوى,4,2,,2
MCQ,43,القائل : (والله ما رأيت ملكاً يعظمه أصحابه مثل ما يعظم أصحاب محمد محمداً)...,عتبة بن ربيعة,المغيرة بن شعبة,سهيل بن عمرو,عروة بن مسعود,4,4,,2
MCQ,44,السبب الرئيس لتحول معركة حنين من الهزيمة إلى النصر هو ...,ثبات الرسول صلى الله عليه وآله وسلم,كثرة العدد والعدة,هروب هوازن وثقيف,الأساليب العسكرية المستخدمة,4,1,,2
MCQ,45,سبب هزيمة الروم في غزوة تبوك ...,العدد,الرعب,الاختلاف ,الخيانات,4,2,,2
MCQ,46,سبب إرسال حاطب رضي الله عنه رسالته إلى قريش .,جائزة قريش,تساهل منه,ارتداده عن الإسلام,حماية لقرابته,4,4,,2
MCQ,47,تزوجها رسول الله صلى الله عليه واله وسلم بأمر من الله؛ ليبطل عادة التبني في الاسلام ..... رضي الله عنها.,سودة بنت زمعة,زينب بنت جحش,هند بنت أبي أمية,زينب بنت خزيمة,4,2,,2
MCQ,48,قال رسول الله صلى الله عليه وآله وسلم (ومن دعا إلى ضلالة كان له من الإثم مثل ..... من تبعه).,سيئات,آثام,ذنوب,معاصي,4,2,,2
MCQ,49,تنعقد الوصية بالإشارة إذا كان الموصي ...,أكمه,أعمى,أبكم,أعرج,4,3,,2
MCQ,50,نزل قوله تعالى: (وَإِمَّا تَخَافَنَّ مِنْ قَوْمٍ خِيَانَةً)  بعد نقض العهد من يهود ...,خيبر,بني قريظة,بني النضير,بني قينقاع,4,4,,2
